S.No,Scheme Name,Page URL,PDF URL,Status
1,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),https://pmkisan.gov.in,NO_PDF_FOUND,
2,Pradhan Mantri Fasal Bima Yojana (PMFBY),https://pmfby.gov.in,NO_PDF_FOUND,
3,Kisan Credit Card (KCC) Scheme,https://www.myscheme.gov.in/schemes/kcc,NO_PDF_FOUND,
4,Soil Health Card Scheme,https://soilhealth.dac.gov.in,NO_PDF_FOUND,
5,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),https://pmksy.gov.in,https://pmksy.gov.in/pdfLinks/MIF_brief hindi and Eng 02_06_2020.pdf,DOWNLOADED
5,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),https://pmksy.gov.in,https://pmksy.gov.in/pdfLinks/DIPTemplate.pdf,DOWNLOADED
5,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),https://pmksy.gov.in,https://pmksy.gov.in/pdfLinks/OneTouchFormat.pdf,DOWNLOADED
6,e-NAM (National Agriculture Market),https://enam.gov.in,https://enam.gov.in/web/assest/download/Revised-Operational-Guidelines-of-e-NAM.pdf,DOWNLOADED
6,e-NAM (National Agriculture Market),https://enam.gov.in,https://enam.gov.in/web/assest/download/sul/Guidelines_for_QC_labs_at_mandis_under_e-NAM.pdf,DOWNLOADED
6,e-NAM (National Agriculture Market),https://enam.gov.in,https://enam.gov.in/assest/download/eNAM_Directory_20210720.pdf,DOWNLOADED
7,Rashtriya Krishi Vikas Yojana (RKVY),https://rkvy.nic.in,NO_PDF_FOUND,
8,PM Kisan Maandhan Yojana,https://maandhan.in,NO_PDF_FOUND,
9,Pradhan Mantri Jan Dhan Yojana (PMJDY),https://pmjdy.gov.in,https://pmjdy.gov.in/files/whatsnew/2Schemes-most-visible-PM-Yojanas.pdf,DOWNLOADED
9,Pradhan Mantri Jan Dhan Yojana (PMJDY),https://pmjdy.gov.in,https://pmjdy.gov.in/files/whatsnew/dhan-accounts-claims-govt.pdf,DOWNLOADED
9,Pradhan Mantri Jan Dhan Yojana (PMJDY),https://pmjdy.gov.in,https://pmjdy.gov.in/files/E-Documents/Continuation_of_PMJDY.pdf,DOWNLOADED
10,Pradhan Mantri Mudra Yojana (PMMY),https://www.mudra.org.in,NO_PDF_FOUND,
11,Pradhan Mantri Suraksha Bima Yojana (PMSBY),https://www.jansuraksha.gov.in,NO_PDF_FOUND,
12,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),https://www.jansuraksha.gov.in,NO_PDF_FOUND,
13,Atal Pension Yojana (APY),https://www.npscra.nsdl.co.in/nps-swavalamban.php,NO_PDF_FOUND,
14,Sukanya Samriddhi Yojana,https://www.india.gov.in/sukanya-samriddhi-yojana,NO_PDF_FOUND,
15,PM Vishwakarma Yojana,https://pmvishwakarma.gov.in,https://pmvishwakarma.gov.in/cdn/MiscFiles/eng_v30.0_PM_Vishwakarma_Guidelines_final.pdf,DOWNLOADED
16,PM Street Vendor AtmaNirbhar Nidhi (PM SVANidhi),https://pmsvanidhi.mohua.gov.in,https://pmsvanidhi.mohua.gov.in/Default/ViewFile/?id=FAQHindi.pdf&path=MiscFiles,DOWNLOADED
16,PM Street Vendor AtmaNirbhar Nidhi (PM SVANidhi),https://pmsvanidhi.mohua.gov.in,https://pmsvanidhi.mohua.gov.in/Default/ViewFile/?id=FAQEng.pdf&path=MiscFiles,DOWNLOADED
16,PM Street Vendor AtmaNirbhar Nidhi (PM SVANidhi),https://pmsvanidhi.mohua.gov.in,https://pmsvanidhi.mohua.gov.in/Default/ViewFile/?id=High_Performing+_Branches_lst_mnth.pdf&path=UT,DOWNLOADED
17,Stand-Up India Scheme,https://www.standupmitra.in,NO_PDF_FOUND,
18,Deendayal Antyodaya Yojana - NRLM,https://aajeevika.gov.in,NO_PDF_FOUND,
19,MGNREGA (Mahatma Gandhi National Rural Employment Guarantee Act),https://nrega.nic.in,NO_PDF_FOUND,
20,Pradhan Mantri Awas Yojana - Gramin (PMAY-G),https://pmayg.nic.in,NO_PDF_FOUND,
21,Pradhan Mantri Awas Yojana - Urban (PMAY-U),https://pmay-urban.gov.in,https://pmay-urban.gov.in/uploads/Angikaar-2026-Guidelines.pdf,DOWNLOADED
21,Pradhan Mantri Awas Yojana - Urban (PMAY-U),https://pmay-urban.gov.in,https://pmay-urban.gov.in/uploads/guidelines/AHP-SOP.pdf,DOWNLOADED
21,Pradhan Mantri Awas Yojana - Urban (PMAY-U),https://pmay-urban.gov.in,https://pmay-urban.gov.in/uploads/progress-pdfs/68ac528160e77-Achievement_under_PMAY-U_&_PMAY-U2.0_cropped.pdf,DOWNLOADED
22,Jal Jeevan Mission,https://jaljeevanmission.gov.in,https://jaljeevanmission.gov.in/sites/default/files/2026-08/jjm-samvad-june-2026.pdf,DOWNLOADED
22,Jal Jeevan Mission,https://jaljeevanmission.gov.in,https://jaljeevanmission.gov.in/sites/default/files/2026-07/Jal-Jeevan-Samvad-May-2026.pdf,DOWNLOADED
22,Jal Jeevan Mission,https://jaljeevanmission.gov.in,https://jaljeevanmission.gov.in/sites/default/files/2026-05/Jal-Jeevan-Samvad-April-2026.pdf,DOWNLOADED
23,Swachh Bharat Mission - Gramin,https://swachhbharatmission.gov.in,https://swachhbharatmission.ddws.gov.in/sites/default/files/home-header-attachment/Guide_Line_Sanitation_CSR.pdf,DOWNLOADED
23,Swachh Bharat Mission - Gramin,https://swachhbharatmission.gov.in,https://swachhbharatmission.ddws.gov.in/sites/default/files/home-header-attachment/Empanelled_List_of_NGOs.pdf,DOWNLOADED
23,Swachh Bharat Mission - Gramin,https://swachhbharatmission.gov.in,https://swachhbharatmission.ddws.gov.in/sites/default/files/home-header-attachment/Implementation_of_CSR_Projects.pdf,DOWNLOADED
24,Ayushman Bharat PM-JAY,https://pmjay.gov.in,NO_PDF_FOUND,
25,National Health Mission (NHM),https://nhm.gov.in,NO_PDF_FOUND,
26,Janani Suraksha Yojana (JSY),https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=841&lid=309,NO_PDF_FOUND,
